,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4,test_accuracy_layer_5,test_accuracy_layer_6,test_accuracy_layer_7,test_accuracy_layer_8,test_accuracy_layer_9,test_accuracy_layer_10
0,10,5.7256178855896,,0.1414,0.139,-22976.533203125,-2297.595458984375,0.01,8990.115234375,899.0003662109375,2.00313138961792,5000.0,1000.0,10000.0,3.517725763441641,0.7115,0.1339,0.1441,0.1001,0.1025,0.1,0.1,0.1,0.1,0.1,0.1
0,10,5.602183818817139,,0.1269,0.128,-22870.4453125,-2287.062255859375,0.01,8968.798828125,896.8827514648438,2.2185425758361816,5000.0,1000.0,10000.0,3.113619876813285,0.7751,0.2438,0.2006,0.2177,0.1789,0.1318,0.1,0.1669,0.1,0.1,0.1
0,9,5.313101768493652,,0.2559,0.246,-22483.744140625,-2248.43896484375,0.01,8890.5419921875,889.0526733398438,1.907181024551392,5000.0,1000.0,10000.0,2.9910402780846703,0.7741,0.3144,0.3379,0.3329,0.1752,0.208,0.1959,0.1,0.1,0.1,
0,9,4.969719886779785,,0.4644,0.484,-19914.17578125,-1989.3956298828125,0.01,8332.9638671875,832.5873413085938,1.828152656555176,5000.0,1000.0,10000.0,2.856974837146228,0.7928,0.3705,0.5062,0.3998,0.3609,0.2665,0.2388,0.0999,0.1,0.1,
0,7,4.018444538116455,,0.5417,0.533,-12480.9814453125,-1236.32177734375,0.01,6225.80859375,620.6893310546875,1.7019779682159424,5000.0,1000.0,10000.0,2.294618641273885,0.7963,0.5591,0.5967,0.571,0.4531,0.5191,0.3876,0.3564,,,
0,3,1.4604804515838623,,0.7384,0.74,-6952.736328125,-656.2962036132812,0.1,3611.940673828125,354.1325378417969,1.192762851715088,5000.0,1000.0,10000.0,1.8692842887926704,0.7508,0.7228,0.7487,0.7251,,,,,,,
0,3,1.436961054801941,,0.7101,0.717,-8455.8125,-788.8685913085938,0.1,4297.353515625,412.9833068847656,1.2390356063842771,5000.0,1000.0,10000.0,1.396961099739316,0.7022,0.707,0.7099,0.7323,,,,,,,
0,3,1.4636943340301514,,0.7791,0.804,-6214.37939453125,-532.0406494140625,0.1,3114.76171875,275.5559997558594,1.2792575359344482,5000.0,1000.0,10000.0,1.2910411150395116,0.7636,0.7697,0.7875,0.7847,,,,,,,
0,3,1.4866691827774048,,0.7494,0.764,-6985.92236328125,-601.7286987304688,0.1,3598.235595703125,324.9527282714844,1.1728403568267822,5000.0,1000.0,10000.0,1.260265259803096,0.7663,0.7447,0.7577,0.7444,,,,,,,
0,3,1.4777920246124268,,0.7858,0.812,-5792.74853515625,-496.3968200683594,0.1,2999.47705078125,265.08233642578125,1.0803992748260498,5000.0,1000.0,10000.0,1.2494912758658203,0.792,0.7803,0.7948,0.7943,,,,,,,
0,3,1.461294651031494,,0.8196,0.832,-5272.48193359375,-451.53607177734375,0.1,2608.003173828125,237.644760131836,1.057542085647583,5000.0,1000.0,10000.0,0.9982455538797982,0.774,0.8186,0.8235,0.8188,,,,,,,
0,3,1.4231921434402466,,0.823,0.83,-5184.6787109375,-457.6111450195313,0.1,2524.8994140625,239.11167907714844,1.005807876586914,5000.0,1000.0,10000.0,0.9871453242965892,0.8174,0.8223,0.8217,0.8235,,,,,,,
0,3,1.4099031686782837,,0.8145,0.826,-5396.1240234375,-454.7439575195313,0.1,2692.36669921875,241.77346801757807,1.0377779006958008,5000.0,1000.0,10000.0,0.8734034801585765,0.7909,0.8121,0.8202,0.8259,,,,,,,
0,3,1.4544463157653809,,0.826,0.849,-4827.0556640625,-375.43365478515625,0.1,2429.398193359375,204.9019317626953,1.123302698135376,5000.0,1000.0,10000.0,0.9412708056123952,0.7896,0.8201,0.835,0.8297,,,,,,,
0,3,1.4898273944854736,,0.8287,0.841,-5054.908203125,-439.8956604003906,0.1,2489.2724609375,239.3750915527344,1.0909337997436523,5000.0,1000.0,10000.0,0.8957676978050908,0.7756,0.8287,0.8297,0.83,,,,,,,
0,3,1.4659717082977295,,0.8102,0.816,-5692.76513671875,-490.5430603027344,0.1,2749.130126953125,262.7959289550781,1.0719122886657717,5000.0,1000.0,10000.0,0.8634801080709771,0.8157,0.8095,0.808,0.8088,,,,,,,
0,3,1.43643057346344,,0.8189,0.828,-5626.55712890625,-495.289306640625,0.1,2647.589599609375,248.3977966308593,1.0195462703704834,5000.0,1000.0,10000.0,0.8696668125406096,0.7767,0.8197,0.8167,0.8148,,,,,,,
0,3,1.450537085533142,,0.8234,0.846,-5422.4130859375,-416.6898193359375,0.1,2561.81982421875,211.7241973876953,1.0417437553405762,5000.0,1000.0,10000.0,0.907202786282648,0.7499,0.8224,0.8228,0.8242,,,,,,,
