,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4
0,4,1.9357166290283203,,0.595703125,0.607421875,-708.5809326171875,-708.4864501953125,0.01,510.79827880859375,510.7038269042969,0.035745620727539,1024.0,1024.0,1024.0,1557.8441162109375,0.4052734375,0.5048828125,0.4951171875,0.5048828125,0.5048828125
0,4,1.9340569972991943,,0.5048828125,0.4970703125,-702.4197387695312,-703.9041748046875,0.01,504.653076171875,506.1359558105469,0.0352787971496582,1024.0,1024.0,1024.0,1522.9854736328125,0.4091796875,0.5048828125,0.6162109375,0.5048828125,0.5048828125
0,4,1.932207703590393,,0.5048828125,0.4970703125,-696.2623291015625,-699.455810546875,0.01,498.5818786621094,501.7619934082031,0.0351991653442382,1024.0,1024.0,1024.0,1496.5697326660156,0.4189453125,0.5048828125,0.5302734375,0.5048828125,0.5048828125
0,4,1.9301292896270752,,0.5615234375,0.5556640625,-689.3560791015625,-694.13232421875,0.01,491.8313598632813,496.5726013183594,0.0342216491699218,1024.0,1024.0,1024.0,1476.1379089355469,0.43359375,0.5830078125,0.53125,0.6044921875,0.5048828125
0,4,1.927899718284607,,0.6533203125,0.6162109375,-678.7044067382812,-684.9417114257812,0.01,481.31927490234375,487.5137634277344,0.0348126888275146,1024.0,1024.0,1024.0,1457.1468505859375,0.4443359375,0.6240234375,0.6650390625,0.62109375,0.638671875
0,4,1.9255578517913816,,0.6376953125,0.6064453125,-667.877685546875,-676.0486450195312,0.01,470.7403869628906,478.8484497070313,0.0355069637298584,1024.0,1024.0,1024.0,1436.2217712402344,0.4501953125,0.615234375,0.6435546875,0.6279296875,0.6298828125
0,4,1.9231112003326416,,0.64453125,0.6005859375,-656.449951171875,-667.4664306640625,0.01,459.89166259765625,470.7785034179688,0.0352938175201416,1024.0,1024.0,1024.0,1413.3224792480469,0.458984375,0.6337890625,0.646484375,0.6396484375,0.6416015625
0,4,1.920581817626953,,0.650390625,0.6103515625,-644.69140625,-659.0667724609375,0.01,449.16314697265625,463.2860107421875,0.0351643562316894,1024.0,1024.0,1024.0,1392.287078857422,0.470703125,0.6435546875,0.650390625,0.646484375,0.6494140625
0,4,1.9180654287338257,,0.654296875,0.6201171875,-634.9297485351562,-652.7919921875,0.01,440.8121337890625,458.221435546875,0.0347378253936767,1024.0,1024.0,1024.0,1371.036102294922,0.4873046875,0.6494140625,0.6552734375,0.662109375,0.6630859375
0,4,1.9156570434570312,,0.65234375,0.6171875,-627.07568359375,-648.3204956054688,0.01,434.8573303222656,455.3438720703125,0.0367560386657714,1024.0,1024.0,1024.0,1353.9668884277344,0.494140625,0.6474609375,0.6513671875,0.6630859375,0.6689453125
0,4,1.913512945175171,,0.6630859375,0.623046875,-621.8251953125,-645.8892822265625,0.01,431.5901184082031,454.5128479003906,0.0387530326843261,1024.0,1024.0,1024.0,1339.0904541015625,0.5087890625,0.6591796875,0.658203125,0.6650390625,0.669921875
0,4,1.911616802215576,,0.6611328125,0.6220703125,-618.5322875976562,-644.48388671875,0.01,429.8660583496094,454.3826904296875,0.0371015071868896,1024.0,1024.0,1024.0,1325.87744140625,0.5244140625,0.6669921875,0.66015625,0.6552734375,0.6650390625
0,4,1.9099087715148928,,0.66015625,0.619140625,-615.3794555664062,-642.7269287109375,0.01,427.8069458007813,453.5691223144531,0.0348560810089111,1024.0,1024.0,1024.0,1315.9972534179688,0.53125,0.6650390625,0.6591796875,0.642578125,0.66796875
0,4,1.9083893299102783,,0.6669921875,0.6298828125,-611.3135986328125,-636.1856079101562,0.01,424.5545043945313,447.9545593261719,0.0346710681915283,1024.0,1024.0,1024.0,1304.5165100097656,0.537109375,0.6669921875,0.6650390625,0.65234375,0.6201171875
0,4,1.9070899486541748,,0.6650390625,0.625,-607.5419921875,-633.5968017578125,0.01,422.0204772949219,446.5111083984375,0.0344235897064209,1024.0,1024.0,1024.0,1295.0765686035156,0.560546875,0.6650390625,0.6630859375,0.6494140625,0.6650390625
0,4,1.906187653541565,,0.6650390625,0.6220703125,-603.2078247070312,-629.9443969726562,0.01,419.1502685546875,444.2066650390625,0.0348479747772216,1024.0,1024.0,1024.0,1285.2461547851562,0.5673828125,0.671875,0.6650390625,0.650390625,0.65625
0,4,1.9056603908538816,,0.673828125,0.6279296875,-597.873779296875,-624.3814697265625,0.01,415.1446533203125,439.9583129882813,0.034625768661499,1024.0,1024.0,1024.0,1274.776611328125,0.5712890625,0.66796875,0.6650390625,0.654296875,0.666015625
0,4,1.905691146850586,,0.671875,0.6279296875,-591.3077392578125,-617.3710327148438,0.01,410.04931640625,434.4615478515625,0.0346474647521972,1024.0,1024.0,1024.0,1263.9059143066406,0.5869140625,0.669921875,0.6689453125,0.65625,0.6552734375
0,4,1.906465768814087,,0.666015625,0.62890625,-584.3450317382812,-610.579833984375,0.01,404.9650268554688,429.5397338867188,0.0346443653106689,1024.0,1024.0,1024.0,1253.5944213867188,0.5947265625,0.658203125,0.6669921875,0.6513671875,0.65234375
0,4,1.907996416091919,,0.66015625,0.6279296875,-576.15576171875,-600.2166137695312,0.01,397.9016418457031,420.40081787109375,0.0345935821533203,1024.0,1024.0,1024.0,1241.8836975097656,0.6044921875,0.6640625,0.6591796875,0.6650390625,0.64453125
0,4,1.9101272821426392,,0.65625,0.6240234375,-567.4729614257812,-593.5372314453125,0.01,391.616943359375,416.0735168457031,0.0353171825408935,1024.0,1024.0,1024.0,1230.5634765625,0.615234375,0.6572265625,0.65625,0.6650390625,0.666015625
0,4,1.912854671478272,,0.6435546875,0.6240234375,-556.1118774414062,-580.584716796875,0.01,382.7385559082031,405.5172119140625,0.0347721576690673,1024.0,1024.0,1024.0,1217.7463684082031,0.6220703125,0.662109375,0.64453125,0.64453125,0.6474609375
0,4,1.916045904159546,,0.654296875,0.626953125,-544.4222412109375,-569.6044311523438,0.01,372.294677734375,395.89935302734375,0.0346701145172119,1024.0,1024.0,1024.0,1203.192901611328,0.62109375,0.662109375,0.6484375,0.6669921875,0.64453125
0,4,1.9196124076843264,,0.64453125,0.619140625,-530.43310546875,-555.5382690429688,0.01,360.8257141113281,384.2759399414063,0.0346283912658691,1024.0,1024.0,1024.0,1189.3245849609375,0.6259765625,0.658203125,0.6396484375,0.65625,0.6875
0,4,1.923466444015503,,0.6416015625,0.60546875,-515.5296630859375,-540.0860595703125,0.01,348.4063720703125,371.3151550292969,0.0352752208709716,1024.0,1024.0,1024.0,1173.8318786621094,0.630859375,0.6611328125,0.6455078125,0.6513671875,0.72265625
0,4,1.9274804592132568,,0.642578125,0.609375,-501.4454956054688,-525.5875854492188,0.01,336.2666015625,358.7931213378906,0.0353195667266845,1024.0,1024.0,1024.0,1157.6021118164062,0.6396484375,0.6640625,0.64453125,0.66015625,0.6953125
0,4,1.93164324760437,,0.658203125,0.615234375,-486.0202026367188,-510.755615234375,0.01,323.97247314453125,346.944580078125,0.0347156524658203,1024.0,1024.0,1024.0,1142.2987060546875,0.6416015625,0.666015625,0.6650390625,0.6728515625,0.7099609375
0,4,1.9358679056167605,,0.6787109375,0.6376953125,-470.2084045410156,-493.9747924804688,0.01,311.0241394042969,333.00341796875,0.0346457958221435,1024.0,1024.0,1024.0,1126.9548034667969,0.6435546875,0.6708984375,0.689453125,0.7021484375,0.7509765625
0,4,1.940124988555908,,0.70703125,0.66796875,-454.4490356445313,-476.9146728515625,0.01,297.1811828613281,317.8612060546875,0.0342378616333007,1024.0,1024.0,1024.0,1111.185577392578,0.642578125,0.6796875,0.7099609375,0.74609375,0.7744140625
0,4,1.944435954093933,,0.7216796875,0.68359375,-436.1970825195313,-458.6499633789063,0.01,282.7435607910156,303.2709350585937,0.0342993736267089,1024.0,1024.0,1024.0,1095.3970947265625,0.646484375,0.6787109375,0.7314453125,0.783203125,0.810546875
0,4,1.9487782716751096,,0.74609375,0.70703125,-417.16693115234375,-440.9264526367188,0.01,267.302001953125,288.8773193359375,0.0343914031982421,1024.0,1024.0,1024.0,1079.0636291503906,0.6455078125,0.6865234375,0.7333984375,0.802734375,0.8095703125
0,4,1.9531538486480715,,0.798828125,0.7666015625,-398.134521484375,-419.0143737792969,0.01,249.4005279541016,268.1686706542969,0.0344605445861816,1024.0,1024.0,1024.0,1061.8087768554688,0.6455078125,0.689453125,0.8017578125,0.8232421875,0.84375
0,4,1.9575812816619875,,0.8056640625,0.7734375,-377.9255981445313,-399.967041015625,0.01,233.89208984375,253.47042846679688,0.0345239639282226,1024.0,1024.0,1024.0,1046.4008331298828,0.6455078125,0.6884765625,0.80859375,0.8251953125,0.8466796875
0,4,1.9619885683059688,,0.82421875,0.7939453125,-362.8525390625,-385.1888732910156,0.01,223.5009307861328,242.98025512695312,0.0345330238342285,1024.0,1024.0,1024.0,1031.060562133789,0.6455078125,0.673828125,0.8212890625,0.841796875,0.86328125
0,4,1.966370940208435,,0.8359375,0.8125,-348.0065002441406,-368.9106750488281,0.01,209.59353637695312,227.603759765625,0.0345098972320556,1024.0,1024.0,1024.0,1018.1114654541016,0.646484375,0.6767578125,0.833984375,0.865234375,0.8671875
0,4,1.970717191696167,,0.8427734375,0.8349609375,-336.15582275390625,-353.84771728515625,0.01,200.55337524414065,215.3721618652344,0.0343062877655029,1024.0,1024.0,1024.0,1005.0309600830078,0.646484375,0.6865234375,0.8486328125,0.8681640625,0.8701171875
0,4,1.9749960899353027,,0.8583984375,0.8369140625,-322.4474792480469,-342.7704467773437,0.01,190.6580505371093,207.7688446044922,0.0367720127105712,1024.0,1024.0,1024.0,993.9488220214844,0.6484375,0.7001953125,0.8408203125,0.888671875,0.884765625
0,4,1.979161262512207,,0.8720703125,0.8603515625,-314.0757751464844,-331.30108642578125,0.01,184.32598876953125,198.4005126953125,0.0344338417053222,1024.0,1024.0,1024.0,984.146942138672,0.6484375,0.70703125,0.8662109375,0.8916015625,0.890625
0,4,1.9832494258880613,,0.8857421875,0.875,-303.3385009765625,-320.7088317871094,0.01,175.16470336914062,189.35202026367188,0.0349292755126953,1024.0,1024.0,1024.0,974.7771759033204,0.650390625,0.7138671875,0.8779296875,0.8984375,0.90234375
0,4,1.9872055053710933,,0.892578125,0.875,-298.617919921875,-313.0999755859375,0.01,172.50927734375,183.9237518310547,0.0338532924652099,1024.0,1024.0,1024.0,968.0569915771484,0.65234375,0.7197265625,0.8837890625,0.8896484375,0.8857421875
0,4,1.99109411239624,,0.890625,0.87890625,-290.18536376953125,-306.49591064453125,0.01,167.18797302246094,180.21778869628903,0.0337138175964355,1024.0,1024.0,1024.0,962.214385986328,0.6513671875,0.7265625,0.8896484375,0.9033203125,0.892578125
0,4,1.9948331117630005,,0.892578125,0.8818359375,-285.3714599609375,-300.18951416015625,0.01,164.21575927734375,175.86859130859375,0.0336174964904785,1024.0,1024.0,1024.0,956.170150756836,0.6513671875,0.724609375,0.892578125,0.8974609375,0.8876953125
0,4,1.9984664916992188,,0.8984375,0.88671875,-278.31512451171875,-294.07867431640625,0.01,158.57916259765625,171.1116180419922,0.033745527267456,1024.0,1024.0,1024.0,950.9584197998048,0.65234375,0.7373046875,0.890625,0.912109375,0.912109375
0,4,2.0020012855529785,,0.8994140625,0.888671875,-275.713623046875,-290.2796325683594,0.01,157.6087646484375,168.93162536621094,0.0753006935119628,1024.0,1024.0,1024.0,947.8133239746094,0.6533203125,0.7421875,0.8935546875,0.90234375,0.8935546875
0,4,2.0054049491882324,,0.8974609375,0.8876953125,-273.0785522460937,-288.92266845703125,0.01,155.73873901367188,168.2658233642578,0.0337650775909423,1024.0,1024.0,1024.0,944.6627502441406,0.65625,0.7587890625,0.890625,0.9033203125,0.9033203125
0,4,2.0087263584136963,,0.900390625,0.88671875,-268.82049560546875,-284.0364990234375,0.01,153.28871154785156,165.20445251464844,0.0335803031921386,1024.0,1024.0,1024.0,940.3602752685548,0.6572265625,0.7685546875,0.8916015625,0.908203125,0.91015625
0,4,2.011938095092773,,0.9013671875,0.8876953125,-265.688720703125,-282.279541015625,0.01,150.9969940185547,164.1661834716797,0.0336768627166748,1024.0,1024.0,1024.0,937.1717529296876,0.6572265625,0.7744140625,0.892578125,0.91015625,0.919921875
0,4,2.015077590942383,,0.896484375,0.8935546875,-265.3945007324219,-278.3077087402344,0.01,151.61769104003906,161.39596557617188,0.0342977046966552,1024.0,1024.0,1024.0,934.7896575927734,0.65625,0.7861328125,0.8935546875,0.8955078125,0.8896484375
0,4,2.0181446075439453,,0.900390625,0.888671875,-260.4779968261719,-277.2850036621094,0.01,147.68968200683594,160.99855041503906,0.0345456600189209,1024.0,1024.0,1024.0,931.5906524658204,0.65625,0.79296875,0.8974609375,0.9130859375,0.921875
0,4,2.021104097366333,,0.8984375,0.88671875,-258.63482666015625,-274.3257751464844,0.01,147.44503784179688,159.70628356933594,0.03426194190979,1024.0,1024.0,1024.0,930.2300567626952,0.65625,0.794921875,0.8935546875,0.9072265625,0.908203125
0,4,2.0240719318389893,,0.8974609375,0.8857421875,-256.76336669921875,-273.47344970703125,0.01,146.2500457763672,159.3812713623047,0.0337793827056884,1024.0,1024.0,1024.0,926.9882965087892,0.6552734375,0.796875,0.89453125,0.9091796875,0.9130859375
0,4,2.0269548892974854,,0.900390625,0.8876953125,-253.6997528076172,-269.6453857421875,0.01,144.1103973388672,156.50051879882812,0.034137487411499,1024.0,1024.0,1024.0,924.6094970703124,0.654296875,0.810546875,0.8935546875,0.9140625,0.916015625
0,4,2.029803276062012,,0.8994140625,0.888671875,-251.7847900390625,-267.15411376953125,0.01,143.2857208251953,155.22569274902344,0.0360827445983886,1024.0,1024.0,1024.0,921.7286987304688,0.6533203125,0.810546875,0.8935546875,0.912109375,0.9091796875
0,4,2.032625198364258,,0.8984375,0.8876953125,-250.01486206054688,-265.41680908203125,0.01,142.15118408203125,154.08616638183594,0.0348939895629882,1024.0,1024.0,1024.0,919.428482055664,0.65234375,0.8076171875,0.892578125,0.912109375,0.908203125
