,depth,nu_L,test_acc,test_accuracy,validation_accuracy,test_predictive_LL,validation_predictive_LL,lr,test_brier,validation_brier,train_time_one_epoch,size_train,size_validation,size_test,train_loss,test_accuracy_layer_0,test_accuracy_layer_1,test_accuracy_layer_2,test_accuracy_layer_3,test_accuracy_layer_4,test_accuracy_layer_5,test_accuracy_layer_6,test_accuracy_layer_7,test_accuracy_layer_8,test_accuracy_layer_9,test_accuracy_layer_10
0,10,5.725385665893555,,0.1006,0.099,-22975.646484375,-2297.5341796875,0.01,8989.935546875,898.9874877929688,12.16871166229248,5000.0,1000.0,10000.0,3.487392117705526,0.7129,0.137,0.1536,0.1,0.1695,0.1,0.1,0.1,0.1003,0.1,0.1
0,10,5.601446151733398,,0.2709,0.259,-22867.544921875,-2286.74951171875,0.01,8968.1728515625,896.8154907226562,2.339041233062744,5000.0,1000.0,10000.0,3.0620292138449754,0.7644,0.2615,0.2905,0.1869,0.2227,0.1962,0.1,0.1,0.1,0.1,0.1
0,9,5.310295104980469,,0.3234,0.323,-22464.142578125,-2246.697998046875,0.01,8886.0439453125,888.65380859375,2.3367722034454346,5000.0,1000.0,10000.0,2.9795833539359178,0.7739,0.3167,0.4007,0.292,0.3987,0.2005,0.1,0.1274,0.1,0.1,
0,9,4.950927257537842,,0.3973,0.399,-19641.75390625,-1964.9625244140625,0.01,8259.0029296875,825.9938354492188,2.2074990272521973,5000.0,1000.0,10000.0,2.832526267329349,0.7868,0.3381,0.4755,0.4079,0.4097,0.3133,0.2947,0.1981,0.1001,0.1,
0,7,4.007121562957764,,0.4534,0.479,-12365.2275390625,-1212.492431640625,0.01,6223.373046875,611.0111083984375,2.1224844455718994,5000.0,1000.0,10000.0,2.2320586684383925,0.7974,0.5839,0.5617,0.5124,0.4538,0.4216,0.3625,0.295,,,
0,3,1.5757676362991333,,0.7056,0.756,-7960.12109375,-717.6920776367188,0.1,3941.759033203125,352.77410888671875,1.467069387435913,5000.0,1000.0,10000.0,1.7547982214372368,0.7692,0.6982,0.7089,0.7135,,,,,,,
0,3,1.513342022895813,,0.7933,0.828,-5858.85400390625,-525.8236694335938,0.1,2931.34423828125,255.45741271972656,1.267988920211792,5000.0,1000.0,10000.0,1.1669082426572148,0.7886,0.7812,0.7991,0.7813,,,,,,,
0,3,1.4398969411849976,,0.7382,0.763,-7273.55908203125,-653.9451904296875,0.1,3757.61962890625,337.7734680175781,1.2158772945404053,5000.0,1000.0,10000.0,1.1132723896563808,0.7589,0.7337,0.7454,0.7455,,,,,,,
0,3,1.4373779296875,,0.7648,0.81,-7229.73779296875,-611.8801879882812,0.1,3390.114013671875,277.26422119140625,1.2171547412872314,5000.0,1000.0,10000.0,1.0363781482358525,0.778,0.7524,0.7794,0.7857,,,,,,,
0,3,1.4865716695785522,,0.7915,0.812,-5741.7021484375,-510.1571044921875,0.1,2879.723876953125,256.7351989746094,1.2405579090118408,5000.0,1000.0,10000.0,1.02413657156727,0.7997,0.7923,0.7882,0.7982,,,,,,,
0,3,1.5078412294387815,,0.8181,0.853,-5132.298828125,-451.8053588867188,0.1,2580.736083984375,220.59893798828125,1.2354464530944824,5000.0,1000.0,10000.0,1.016292440740368,0.8101,0.8185,0.8168,0.8171,,,,,,,
0,3,1.4753413200378418,,0.7698,0.797,-6276.26806640625,-545.4749145507812,0.1,3184.753173828125,279.8865966796875,1.26971697807312,5000.0,1000.0,10000.0,0.926700628256496,0.6972,0.7617,0.7803,0.795,,,,,,,
0,3,1.5125765800476074,,0.8099,0.835,-5585.79833984375,-485.9355163574219,0.1,2721.34716796875,234.4295654296875,1.252333402633667,5000.0,1000.0,10000.0,1.0592840038522888,0.7992,0.809,0.8046,0.804,,,,,,,
0,3,1.4754638671875,,0.8153,0.846,-5515.181640625,-470.3627014160156,0.1,2656.188720703125,226.9803466796875,1.2395405769348145,5000.0,1000.0,10000.0,0.914701173199883,0.7207,0.8145,0.8123,0.81,,,,,,,
0,3,1.4482275247573853,,0.8,0.836,-5615.40966796875,-483.0105590820313,0.1,2838.4228515625,237.4351043701172,1.2341158390045166,5000.0,1000.0,10000.0,0.8521256759951387,0.7848,0.8007,0.7968,0.8007,,,,,,,
0,3,1.4618003368377686,,0.8213,0.84,-5326.01708984375,-475.8460083007813,0.1,2586.701904296875,229.99774169921875,1.2446622848510742,5000.0,1000.0,10000.0,0.9068040681790702,0.7607,0.819,0.8227,0.8259,,,,,,,
0,3,1.4625061750411987,,0.7863,0.823,-6008.8720703125,-519.6292114257812,0.1,2961.257568359375,257.5537109375,1.141506910324097,5000.0,1000.0,10000.0,0.9572043779152858,0.8129,0.7833,0.7946,0.7978,,,,,,,
0,3,1.478945016860962,,0.8178,0.854,-5477.41064453125,-469.71429443359375,0.1,2646.285888671875,225.6069793701172,1.2147915363311768,5000.0,1000.0,10000.0,0.8245573013643676,0.8086,0.8169,0.8143,0.816,,,,,,,
0,3,1.4756364822387695,,0.8274,0.864,-5272.6923828125,-418.1286926269531,0.1,2522.689453125,201.2071533203125,1.26865553855896,5000.0,1000.0,10000.0,0.8227703295931031,0.8052,0.8246,0.8252,0.8245,,,,,,,
0,3,1.4808251857757568,,0.8149,0.853,-5596.6728515625,-454.6477661132813,0.1,2684.76513671875,220.6270294189453,1.2479383945465088,5000.0,1000.0,10000.0,0.9831539388698868,0.8114,0.8136,0.8181,0.8188,,,,,,,
0,3,1.5137662887573242,,0.8072,0.84,-5691.8427734375,-458.9425354003906,0.1,2781.697509765625,224.7859802246093,1.244761943817139,5000.0,1000.0,10000.0,0.9205714928198464,0.8148,0.8055,0.8086,0.809,,,,,,,
0,3,1.5103635787963867,,0.7843,0.823,-6126.23291015625,-496.1242370605469,0.1,3039.450439453125,246.2811737060547,1.2766082286834717,5000.0,1000.0,10000.0,0.8254080365730238,0.7835,0.7788,0.7926,0.7957,,,,,,,
